Amount,Day,Reason
200,1,Food
30,2,Internet Service
85,3,Food
75,4,Food
100,5,Entertainment
60,6,Entertainment
50,7,Internet Service
145,8,Food
25,9,Entertainment
130,10,Food
40,11,Food
175,12,Internet Service
55,13,Food
95,14,Internet Service
140,15,Entertainment
85,16,Food
60,17,Entertainment
20,18,Food
180,19,Internet Service
45,20,Food
110,21,Food
35,22,Entertainment
200,23,Internet Service
90,24,Food
65,25,Entertainment
55,26,Internet Service
120,27,Food
100,28,Internet Service
50,29,Food
75,30,Food
190,31,Entertainment
30,1,Entertainment
45,3,Internet Service
70,5,Food
135,6,Food
90,7,Entertainment
160,8,Internet Service
55,11,Internet Service
25,12,Food
80,13,Entertainment
140,16,Food
75,17,Food
200,19,Food
65,22,Food
45,23,Food
100,24,Entertainment
35,29,Internet Service
50,30,Entertainment
130,30,Internet Service
45,31,Food
60,31,Food
