Amount,Day,Reason
35,1,Food
100,2,Entertainment
60,3,Food
90,4,Internet Service
140,5,Food
25,6,Internet Service
85,7,Food
45,8,Entertainment
30,9,Internet Service
200,10,Food
55,11,Food
75,12,Entertainment
180,13,Internet Service
95,14,Food
45,15,Entertainment
130,16,Food
65,17,Food
170,18,Internet Service
110,19,Food
55,20,Food
40,21,Entertainment
100,22,Internet Service
90,23,Entertainment
75,24,Food
50,25,Internet Service
185,26,Food
35,27,Entertainment
160,28,Internet Service
45,29,Food
60,30,Food
30,31,Entertainment
80,1,Internet Service
150,2,Food
45,3,Entertainment
55,4,Food
35,5,Internet Service
120,7,Entertainment
70,8,Food
200,9,Food
60,10,Internet Service
95,12,Food
20,13,Entertainment
50,14,Internet Service
140,18,Food
85,19,Internet Service
40,21,Food
130,25,Food
75,28,Food
55,29,Entertainment
95,31,Food
