Amount,Day,Reason
85,1,Entertainment
40,2,Internet Service
20,3,Food
150,4,Food
60,5,Food
45,6,Internet Service
95,7,Entertainment
75,8,Food
180,9,Internet Service
100,10,Food
35,11,Food
130,12,Entertainment
200,13,Food
65,14,Internet Service
30,15,Food
90,16,Entertainment
50,17,Internet Service
185,18,Food
55,19,Food
75,20,Entertainment
120,21,Internet Service
45,22,Food
170,23,Food
20,24,Internet Service
95,25,Food
40,26,Entertainment
60,27,Food
105,28,Internet Service
80,29,Food
55,30,Entertainment
140,31,Food
30,1,Food
65,2,Food
110,3,Entertainment
70,5,Entertainment
90,7,Food
45,8,Entertainment
150,9,Food
35,10,Internet Service
95,11,Internet Service
60,12,Food
175,14,Food
100,15,Entertainment
45,16,Food
130,20,Food
160,21,Food
200,23,Internet Service
45,26,Food
55,28,Food
80,29,Entertainment
25,30,Internet Service
