Amount,Day,Reason
55,1,Food
75,2,Internet Service
200,3,Food
40,4,Entertainment
85,5,Food
45,6,Food
90,7,Internet Service
130,8,Food
120,9,Entertainment
30,10,Internet Service
105,11,Food
65,12,Entertainment
35,13,Food
160,14,Internet Service
50,15,Entertainment
95,16,Food
20,17,Food
180,18,Food
55,19,Internet Service
70,20,Food
130,21,Entertainment
40,22,Food
125,23,Internet Service
90,24,Food
35,25,Entertainment
200,26,Food
25,27,Internet Service
100,28,Food
140,29,Entertainment
80,30,Food
145,31,Entertainment
60,1,Internet Service
100,2,Entertainment
35,3,Internet Service
75,4,Food
85,5,Entertainment
45,7,Food
160,9,Food
30,10,Food
195,12,Food
55,14,Food
65,15,Internet Service
40,20,Entertainment
100,21,Food
135,23,Food
80,24,Internet Service
150,26,Internet Service
45,28,Entertainment
90,29,Food
75,30,Internet Service
55,31,Food
