Amount,Day,Reason
200,1,Food
65,2,Internet Service
75,3,Food
130,4,Entertainment
55,5,Food
190,6,Food
40,7,Internet Service
85,8,Food
140,9,Entertainment
25,10,Food
95,11,Internet Service
60,12,Internet Service
50,13,Food
180,14,Entertainment
35,15,Food
100,16,Internet Service
150,17,Food
75,18,Entertainment
45,19,Food
30,20,Internet Service
135,21,Entertainment
160,22,Food
55,23,Internet Service
90,24,Food
40,25,Entertainment
115,26,Internet Service
200,27,Food
70,28,Food
60,29,Entertainment
95,30,Internet Service
45,31,Food
80,1,Internet Service
30,2,Food
175,3,Entertainment
60,5,Entertainment
100,7,Food
65,8,Entertainment
50,9,Food
185,10,Internet Service
90,14,Food
45,16,Food
25,17,Internet Service
40,18,Food
75,20,Food
130,22,Entertainment
45,23,Food
60,24,Internet Service
150,26,Food
35,29,Food
55,31,Entertainment
