Amount,Day,Reason
120,1,Food
50,1,Entertainment
50,2,Entertainment
30,2,Internet Service
200,3,Internet Service
85,4,Food
30,5,Food
80,5,Food
15,5,Entertainment
190,6,Entertainment
45,7,Internet Service
60,8,Food
75,9,Entertainment
100,10,Internet Service
200,10,Food
45,10,Internet Service
130,11,Food
40,12,Food
150,13,Internet Service
65,13,Food
95,14,Entertainment
55,15,Food
35,15,Internet Service
180,16,Internet Service
75,16,Entertainment
70,17,Food
45,17,Entertainment
35,18,Entertainment
170,19,Internet Service
85,19,Food
30,19,Food
65,20,Food
50,20,Internet Service
40,21,Food
195,22,Entertainment
100,22,Food
115,23,Internet Service
90,24,Food
20,25,Entertainment
45,25,Internet Service
140,26,Food
200,27,Internet Service
130,28,Entertainment
70,28,Food
95,28,Internet Service
75,29,Food
60,29,Entertainment
55,30,Internet Service
55,30,Food
180,31,Food
,,Select Option
